iter	Passed	Remaining
0	294	882531
1	340	509759
2	417	416799
3	450	337687
4	535	321019
5	589	293932
6	645	276158
7	741	277154
8	789	262506
9	874	261520
10	989	268939
11	1023	254821
12	1116	256629
13	1233	263150
14	1319	262598
15	1379	257229
16	1430	251048
17	1510	250161
18	1592	249821
19	1662	247749
20	1726	244868
21	1755	237631
22	1838	237926
23	1923	238483
24	1960	233341
25	2028	232050
26	2093	230554
27	2163	229595
28	2231	228655
29	2306	228356
30	2395	229456
31	2474	229546
32	2558	229999
33	2629	229417
34	2704	229114
35	2778	228755
36	2830	226674
37	2903	226316
38	2985	226692
39	3070	227228
40	3153	227555
41	3229	227425
42	3302	227093
43	3389	227692
44	3474	228155
45	3555	228293
46	3624	227714
47	3692	227089
48	3772	227181
49	3845	226909
50	3894	225191
51	3997	226643
52	4094	227650
53	4172	227651
54	4207	225307
55	4271	224543
56	4307	222419
57	4334	219879
58	4403	219488
59	4466	218855
60	4530	218284
61	4603	218156
62	4672	217806
63	4700	215627
64	4722	213230
65	4790	212951
66	4861	212826
67	4932	212689
68	5000	212396
69	5040	210967
70	5111	210855
71	5187	210945
72	5244	210283
73	5278	208699
74	5348	208606
75	5417	208441
76	5493	208535
77	5571	208733
78	5643	208667
79	5711	208472
80	5776	208154
81	5831	207510
82	5897	207267
83	5961	206963
84	6014	206261
85	6087	206259
86	6151	205969
87	6226	206031
88	6292	205801
89	6357	205557
90	6395	204435
91	6421	202963
92	6489	202843
93	6516	201452
94	6582	201288
95	6645	201025
96	6686	200097
97	6753	199979
98	6774	198524
99	6845	198530
100	6920	198645
101	6994	198717
102	7046	198196
103	7087	197366
104	7165	197564
105	7210	196873
106	7282	196908
107	7347	196755
108	7379	195736
109	7447	195662
110	7526	195902
111	7595	195863
112	7669	195956
113	7741	195993
114	7810	195936
115	7872	195715
116	7941	195680
117	8034	196238
118	8097	196035
119	8163	195915
120	8302	197540
121	8397	198094
122	8480	198364
123	8561	198577
124	8621	198285
125	8659	197522
126	8709	197031
127	8806	197598
128	8892	197912
129	8965	197923
130	9033	197840
131	9099	197710
132	9198	198292
133	9288	198669
134	9358	198608
135	9409	198160
136	9458	197668
137	9533	197725
138	9572	197018
139	9639	196922
140	9724	197186
141	9796	197172
142	9850	196793
143	9923	196822
144	9979	196501
145	10047	196405
146	10118	196388
147	10176	196100
148	10264	196410
149	10323	196153
150	10399	196219
151	10471	196211
152	10536	196069
153	10576	195461
154	10644	195385
155	10699	195057
156	10784	195285
157	10900	196077
158	10992	196418
159	11282	200268
160	11513	203021
161	11651	204110
162	11746	204453
163	11838	204725
164	11949	205306
165	12046	205664
166	12180	206635
167	12283	207059
168	12371	207241
169	12454	207336
170	12473	206357
171	12558	206481
172	12640	206554
173	12698	206236
174	12966	209315
175	13878	222690
176	14357	228985
177	14462	229283
178	14576	229721
179	14697	230258
180	14742	229601
181	14977	231897
182	15088	232265
183	15208	232748
184	15269	232339
185	15384	232760
186	15480	232870
187	15539	232436
188	15643	232666
189	15745	232870
190	15819	232651
191	15907	232652
192	15993	232616
193	16087	232691
194	16180	232746
195	16266	232716
196	16366	232870
197	16457	232904
198	16576	233313
199	16687	233622
200	16800	233946
201	16882	233850
202	16969	233809
203	17057	233786
204	17136	233648
205	17220	233556
206	17302	233459
207	17352	232929
208	17439	232884
209	17521	232790
210	17609	232756
211	17696	232719
212	17780	232648
213	17865	232582
214	17955	232581
215	18003	232043
216	18089	231993
217	18181	232029
218	18264	231928
219	18344	231803
220	18447	231976
221	18524	231807
222	18585	231440
223	18666	231333
224	18752	231275
225	18838	231231
226	18946	231449
227	19038	231469
228	19169	231957
229	19272	232113
230	19359	232062
231	19450	232060
232	19560	232295
233	19614	231853
234	19708	231894
235	19851	232501
236	19946	232535
237	20043	232607
238	20133	232592
239	20220	232537
240	20308	232491
241	20399	232481
242	20440	231915
243	20506	231625
244	20602	231674
245	20703	231779
246	20872	232636
247	20967	232670
248	21058	232655
249	21156	232716
250	21230	232523
251	21341	232727
252	21455	232957
253	21533	232801
254	21703	233636
255	21822	233913
256	21982	234617
257	22076	234626
258	22173	234665
259	22268	234674
260	22309	234125
261	22426	234360
262	22519	234356
263	22607	234300
264	22745	234747
265	22874	235109
266	22955	234968
267	23038	234852
268	23118	234709
269	23205	234638
270	23289	234527
271	23346	234149
272	23430	234050
273	23516	233966
274	23592	233782
275	23680	233715
276	23770	233669
277	23864	233670
278	23957	233649
279	24051	233644
280	24140	233583
281	24231	233548
282	24314	233432
283	24403	233383
284	24487	233272
285	24568	233144
286	24648	232998
287	24728	232855
288	24810	232741
289	24899	232683
290	24986	232605
291	25082	232610
292	25176	232606
293	25410	233875
294	25496	233790
295	25547	233381
296	25712	234009
297	25886	234713
298	25987	234754
299	26059	234534
300	26168	234651
301	26271	234699
302	26312	234202
303	26401	234141
304	26496	234122
305	26593	234131
306	26661	233878
307	26695	233322
308	26784	233261
309	26876	233215
310	26964	233139
311	27062	233156
312	27151	233087
313	27240	233014
314	27323	232896
315	27412	232830
316	27469	232490
317	27518	232087
318	27603	231988
319	27695	231947
320	27785	231892
321	27872	231805
322	27956	231699
323	28051	231682
324	28144	231651
325	28229	231551
326	28309	231411
327	28395	231319
328	28478	231204
329	28576	231209
330	28624	230813
331	28709	230710
332	28802	230683
333	28884	230558
334	28964	230418
335	29049	230319
336	29188	230652
337	29285	230643
338	29379	230615
339	29432	230267
340	29521	230201
341	29607	230110
342	29688	229979
343	29771	229860
344	29941	230420
345	30061	230588
346	30196	230869
347	30408	231731
348	30554	232089
349	30750	232822
350	30924	233386
351	31016	233326
352	31228	234170
353	31462	235165
354	31587	235349
355	31677	235267
356	31779	235272
357	31853	235076
358	31957	235094
359	32069	235172
360	32220	235539
361	32332	235619
362	32457	235784
363	32540	235647
364	32636	235605
365	32722	235497
366	32827	235514
367	32915	235415
368	33005	235332
369	33096	235254
370	33179	235115
371	33266	235012
372	33347	234862
373	33445	234834
374	33530	234713
375	33613	234576
376	33691	234412
377	33762	234195
378	33854	234125
379	33945	234044
380	34034	233956
381	34118	233828
382	34206	233732
383	34285	233572
384	34364	233409
385	34462	233378
386	34539	233211
387	34618	233049
388	34707	232958
389	34792	232843
390	34883	232762
391	34964	232623
392	35045	232477
393	35130	232359
394	35214	232234
395	35294	232089
396	35336	231688
397	35362	231190
398	35450	231094
399	35543	231031
400	35631	230937
401	35715	230818
402	35800	230702
403	35881	230568
404	35967	230455
405	36048	230319
406	36089	229927
407	36175	229820
408	36255	229679
409	36342	229575
410	36419	229417
411	36501	229285
412	36563	229031
413	36647	228911
414	36731	228798
415	36823	228731
416	36903	228590
417	36991	228500
418	37074	228377
419	37155	228241
420	37235	228102
421	37310	227932
422	37407	227892
423	37490	227772
424	37576	227670
425	37665	227584
426	37744	227436
427	37831	227343
428	37914	227222
429	37993	227078
430	38070	226921
431	38155	226812
432	38243	226723
433	38324	226589
434	38402	226443
435	38482	226305
436	38564	226181
437	38655	226105
438	38735	225974
439	38822	225874
440	38900	225726
441	38981	225596
442	39064	225480
443	39101	225096
444	39189	225006
445	39274	224904
446	39360	224805
447	39445	224700
448	39527	224578
449	39612	224470
